adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
karlbergsvägen 10,0,3.0,8 995 000, 7 oktober 2021,21,136 288,vasastan,66 , 2,3
tre liljor 5,1955,3.0,4 380 000, 7 oktober 2021,17,121 667,vasastan,36 ," 1,5",
birger jarlsgatan 69,3966,3.0,32 200 000, 6 oktober 2021,29,127 273,vasastan,253 , 6,
gävlegatan 26,1700,2.0,3 825 000, 6 oktober 2021,,112 500,vasastan,34 , 2,3
karlbergsvägen 78,4448,3.0,10 900 000, 6 oktober 2021,9,110 101,vasastan,99 , 3,
hagagatan 20a,1493,1.0,4 200 000, 6 oktober 2021,18,120 000,vasastan,35 , 1,4
kammakargatan 27,2424,2.0,6 225 000, 6 oktober 2021,9,115 278,vasastan,54 , 2,3
västmannagatan 30,3408,2.0,9 360 000, 6 oktober 2021,17,120 000,vasastan,78 , 3,
frejgatan 12a,1471,1.0,5 950 000, 6 oktober 2021,19,121 429,vasastan,49 , 2,
upplandsgatan 19a,2404,3.0,6 000 000, 5 oktober 2021,20,171 429,vasastan,35 , 2,2
dalagatan 86a,2886,2.0,5 320 000, 5 oktober 2021,18,106 400,vasastan,50 , 2,1
birger jarlsgatan 93b,2518,3.0,6 250 000, 5 oktober 2021,18,124 254,vasastan,"50,3 ", 2,3
bråvallagatan 6,4640,3.0,11 350 000, 5 oktober 2021,26,127 528,vasastan,89 , 4,3
vikingagatan 15,2658,2.0,5 875 000, 5 oktober 2021,9,110 849,vasastan,53 , 2,3
gävlegatan 5,2827,,6 750 000, 5 oktober 2021,4,95 070,vasastan,71 ," 2,5",2
upplandsgatan 17c,3070,3.0,8 200 000, 5 oktober 2021,21,128 125,vasastan,64 , 2,3
surbrunnsgatan 55,3947,3.0,7 020 000, 5 oktober 2021,±0,81 628,vasastan,86 , 3,2
tomtebogatan 31,1767,3.0,9 150 000, 5 oktober 2021,14,120 395,vasastan,76 ," 2,5",3
karlbergsvägen 68,1633,2.0,4 400 000, 5 oktober 2021,16,122 222,vasastan,36 , 2,1
sveavägen 135,1541,2.0,4 650 000, 5 oktober 2021,16,98 936,vasastan,47 , 2,1
