adress,location,size:rooms,fee,features,sale_price,sold_date,value_dev,ppsqm,district
"roslagsgatan 54, 3 tr","sibirien/vasastan, stockholms kommun",26 m²   1 rum,1 923 kr/mån,hiss,slutpris 3 415 000 kr,såld 3 december 2021,+34 %,131 346 kr/m²,vasastan
"bråvallagatan 9a, 5tr.","vasastan - birkastan, stockholms kommun","70 m²   2,5 rum",3 093 kr/mån,balkong&hiss,slutpris 9 210 000 kr,såld 2 december 2021,+20 %,131 571 kr/m²,vasastan
hälsingegatan 14c,"vasastan, stockholms kommun",68 m²   2 rum,1 981 kr/mån,hiss,slutpris 7 600 000 kr,såld 2 december 2021,+10 %,111 765 kr/m²,vasastan
sankt eriksplan 15,"vasastan - s:t eriksplan, stockholms kommun",37 m²   2 rum,1 512 kr/mån,hiss,slutpris 4 300 000 kr,såld 2 december 2021,+13 %,116 216 kr/m²,vasastan
"tomtebogatan 1a, 2 tr","vasastan, stockholms kommun",47 m²   1 rum,1 100 kr/mån,hiss,slutpris 4 700 000 kr,såld 2 december 2021,+4 %,100 000 kr/m²,vasastan
norrbackagatan 16,"vasastan - birkastan, stockholms kommun",22 m²   1 rum,1 204 kr/mån,hiss,slutpris 2 720 000 kr,såld 2 december 2021,+14 %,123 636 kr/m²,vasastan
rörstrandsgatan 64,"vasastan - birkastan, stockholms kommun",70 m²   3 rum,1 890 kr/mån,balkong&hiss,slutpris 8 600 000 kr,såld 2 december 2021,+15 %,122 857 kr/m²,vasastan
"karlbergsvägen 87a, 4 tr","vasastan birkastan, stockholms kommun",60 m²   2 rum,2 895 kr/mån,balkong&hiss,slutpris 7 500 000 kr,såld 2 december 2021,+14 %,125 000 kr/m²,vasastan
tomtebogatan 34,"birkastan/vasastan, stockholms kommun","29,5 m²   1 rum",1 393 kr/mån,hiss,slutpris 3 700 000 kr,såld 2 december 2021,+16 %,125 424 kr/m²,vasastan
"torsgatan 38a , gårdshus","vasastan, stockholms kommun",95 m²   4 rum,3 914 kr/mån,hiss,slutpris 11 500 000 kr,såld 2 december 2021,+7 %,121 053 kr/m²,vasastan
dalagatan 86h,"vasastan, stockholms kommun",37 m²   2 rum,2 204 kr/mån,balkong&hiss,slutpris 4 850 000 kr,såld 2 december 2021,+14 %,131 081 kr/m²,vasastan
karlbergsvägen 43 a,"vasastan, stockholms kommun",62 m²   2 rum,1 885 kr/mån,balkong&hiss,slutpris 8 062 500 kr,såld 2 december 2021,+12 %,130 040 kr/m²,vasastan
"karlbergsvägen 51, 1 tr","vasastan - birkastan, stockholms kommun",99 m²   3 rum,3 939 kr/mån,balkong&hiss,slutpris 12 000 000 kr,såld 1 december 2021,121 212 kr/m²,,vasastan
dalagatan 35a,"vasastan, stockholms kommun",53 m²   2 rum,2 538 kr/mån,balkong&hiss,slutpris 6 100 000 kr,såld 1 december 2021,+6 %,115 094 kr/m²,vasastan
"sveavägen 133, vån 1","vasastan, stockholms kommun",72 m²   2 rum,3 737 kr/mån,hiss,slutpris 6 350 000 kr,såld 1 december 2021,+1 %,88 194 kr/m²,vasastan
rödabergsgatan 5,"röda bergen, stockholms kommun",91 m²   3 rum,4 311 kr/mån,null,slutpris 9 550 000 kr,såld 1 december 2021,+9 %,104 945 kr/m²,vasastan
"roslagsgatan 54a, 2tr","vasastan - sibirien, stockholms kommun","31 m²   1,5 rum",1 895 kr/mån,balkong&hiss,slutpris 4 175 000 kr,såld 1 december 2021,134 677 kr/m²,,vasastan
"dalagatan 86e, 4tr","vasastan, stockholms kommun",37 m²   1 rum,2 204 kr/mån,hiss,slutpris 3 875 000 kr,såld 1 december 2021,+12 %,104 730 kr/m²,vasastan
upplandsgatan 59,"vasastan, stockholms kommun","42 m²   1,5 rum",2 050 kr/mån,hiss,slutpris 4 500 000 kr,såld 1 december 2021,+20 %,107 143 kr/m²,vasastan
"tulegatan 32a, 1 tr","vasastan sibirien, stockholms kommun",58 m²   2 rum,2 244 kr/mån,balkong&hiss,slutpris 7 500 000 kr,såld 1 december 2021,129 310 kr/m²,,vasastan
rörstrandsgatan 32,"vasastan-birkastan, stockholms kommun",134 m²   5 rum,4 847 kr/mån,null,slutpris 16 600 000 kr,såld 1 december 2021,+11 %,123 881 kr/m²,vasastan
sigtunagatan 4,"vasastan, stockholms kommun",11 m²   1 rum,422 kr/mån,hiss,slutpris 2 400 000 kr,såld 1 december 2021,+2 %,218 182 kr/m²,vasastan
"roslagsgatan 49, 2 tr","vasastan, stockholms kommun","29,5 m²   1,5 rum",1 690 kr/mån,hiss,slutpris 3 340 000 kr,såld 30 november 2021,+15 %,113 220 kr/m²,vasastan
hälsingehöjden 11,"vasastan, stockholms kommun","41,5 m²   2 rum",1 955 kr/mån,hiss,slutpris 5 000 000 kr,såld 30 november 2021,null,120 482 kr/m²,vasastan
"karlbergsvägen 11, vindsvåning!","vasastan, stockholms kommun",81 m²   3 rum,3 363 kr/mån,hiss,slutpris 10 800 000 kr,såld 30 november 2021,+11 %,133 333 kr/m²,vasastan
"torsgatan 46, 4tr","vasastan, stockholms kommun",110 m²   4 rum,2 567 kr/mån,balkong&hiss,slutpris 16 200 000 kr,såld 30 november 2021,+25 %,147 273 kr/m²,vasastan
birkagatan 14,"vasastaden, stockholms kommun",63 m²   3 rum,1 418 kr/mån,balkong&hiss,slutpris 9 000 000 kr,såld 30 november 2021,+13 %,142 857 kr/m²,vasastan
tomtebogatan 11,"birkastan/ vasastan, stockholms kommun",71 m²   2 rum,2 749 kr/mån,null,slutpris 9 250 000 kr,såld 30 november 2021,+19 %,130 282 kr/m²,vasastan
tomtebogatan 10,"vasastan, stockholms kommun",79 m²   3 rum,4 752 kr/mån,balkong&hiss,slutpris 11 650 000 kr,såld 30 november 2021,147 468 kr/m²,,vasastan
"ingemarsgatan 3b, 5 tr","vasastan, stockholms kommun",35 m²   2 rum,1 749 kr/mån,hiss,slutpris 4 300 000 kr,såld 30 november 2021,+23 %,122 857 kr/m²,vasastan
"sveavägen 121a, 4 tr","vasastan, stockholms kommun",57 m²   2 rum,2 991 kr/mån,null,slutpris 6 835 000 kr,såld 30 november 2021,+24 %,119 912 kr/m²,vasastan
"döbelnsgatan 53a, 3tr ö.g","vasastan, stockholms kommun",57 m²   2 rum,2 040 kr/mån,balkong,slutpris 8 250 000 kr,såld 30 november 2021,+22 %,144 737 kr/m²,vasastan
"sveavägen 92, 5 & 6tr","vasastan, stockholms kommun","60 + 4 m²   2,5 rum",1 010 kr/mån,null,slutpris 7 850 000 kr,såld 30 november 2021,+31 %,130 833 kr/m²,vasastan
"tulegatan 23 b, 2tr ög","vasastan, stockholms kommun",78 m²   3 rum,2 869 kr/mån,null,slutpris 10 700 000 kr,såld 30 november 2021,+13 %,137 179 kr/m²,vasastan
"frejgatan 53, 3 tr","vasastan, stockholms kommun","40,5 m²   1,5 rum",1 951 kr/mån,balkong&hiss,slutpris 4 965 000 kr,såld 30 november 2021,+29 %,122 593 kr/m²,vasastan
"frejgatan 37, 3tr.","vasastan - sibirien, stockholms kommun",67 m²   2 rum,3 477 kr/mån,balkong&hiss,slutpris 6 725 000 kr,såld 29 november 2021,+4 %,100 373 kr/m²,vasastan
sveavägen 134,"vasastan, stockholms kommun","49,8 m²   2 rum",2 828 kr/mån,balkong&hiss,slutpris 6 450 000 kr,såld 29 november 2021,129 518 kr/m²,,vasastan
"torsplan 8, plan 3","vasastan/hagastan, stockholms kommun",114 m²   5 rum,6 226 kr/mån,balkong&hiss,slutpris 11 500 000 kr,såld 29 november 2021,-1 %,100 877 kr/m²,vasastan
"robert almströmsgatan 10, 4tr","vasastan, stockholms kommun",96 m²   3 rum,3 826 kr/mån,balkong&hiss,slutpris 13 400 000 kr,såld 29 november 2021,+19 %,139 583 kr/m²,vasastan
völundsgatan 10,"vasastan, stockholms kommun",24 m²   1 rum,1 670 kr/mån,hiss,slutpris 3 150 000 kr,såld 29 november 2021,+9 %,131 250 kr/m²,vasastan
"torbjörn klockares gata 14, ½tr.","vasastan - röda bergen, stockholms kommun",29 m²   1 rum,1 259 kr/mån,null,slutpris 3 100 000 kr,såld 28 november 2021,+7 %,106 897 kr/m²,vasastan
"hagagatan 18, 3tr","vasastan - odenplan, stockholms kommun","70 m²   2,5 rum",3 926 kr/mån,null,slutpris 9 300 000 kr,såld 28 november 2021,null,132 857 kr/m²,vasastan
"robert almströmsgatan 12, 4tr","vasastan, stockholms kommun",41 m²   2 rum,1 982 kr/mån,hiss,slutpris 5 225 000 kr,såld 28 november 2021,+23 %,127 439 kr/m²,vasastan
tulegatan 45,"vasastan, stockholms kommun","90 m²   3,5 rum",1 295 kr/mån,balkong&hiss,slutpris 9 750 000 kr,såld 26 november 2021,+23 %,108 333 kr/m²,vasastan
"sankt eriksgatan 92, 5tr","vasastan, stockholms kommun",84 m²   3 rum,3 884 kr/mån,balkong&hiss,slutpris 10 500 000 kr,såld 26 november 2021,+21 %,125 000 kr/m²,vasastan
tomtebogatan 13b,"vasastan, stockholms kommun",41 m²   2 rum,1 938 kr/mån,balkong,slutpris 5 100 000 kr,såld 26 november 2021,+13 %,124 390 kr/m²,vasastan
"birger jarlsgatan 125, 5 tr","vasastan östermalm, stockholms kommun",48 m²   2 rum,2 144 kr/mån,hiss,slutpris 4 730 000 kr,såld 25 november 2021,+8 %,98 542 kr/m²,vasastan
norrtullsgatan 63,"vasastan, stockholms kommun",56 m²   3 rum,2 800 kr/mån,balkong&hiss,slutpris 5 550 000 kr,såld 25 november 2021,99 107 kr/m²,,vasastan
sigtunagatan 18,"vasastan - st eriksplan, stockholms kommun",59 m²   2 rum,2 019 kr/mån,balkong&hiss,slutpris 8 050 000 kr,såld 25 november 2021,+19 %,136 441 kr/m²,vasastan
birger jarlsgatan 105,"vasastan - sibirien, stockholms kommun",52 m²   2 rum,841 kr/mån,hiss,slutpris 5 250 000 kr,såld 25 november 2021,+14 %,100 962 kr/m²,vasastan
tomtebogatan 17,"vasastan, stockholms kommun",61 m²   2 rum,1 896 kr/mån,balkong&hiss,slutpris 7 050 000 kr,såld 25 november 2021,+12 %,115 574 kr/m²,vasastan
"tomtebogatan 13b, 4tr","vasastan - birkastan, stockholms kommun",71 m²   2 rum,2 775 kr/mån,null,slutpris 9 000 000 kr,såld 25 november 2021,null,126 761 kr/m²,vasastan
"västmannagatan 95, 2 tr","vasastan, stockholms kommun",26 m²   1 rum,1 154 kr/mån,hiss,slutpris 3 250 000 kr,såld 25 november 2021,+16 %,125 000 kr/m²,vasastan
"torsgatan 77, 3 tr","vasastan, stockholms kommun",43 m²   2 rum,2 313 kr/mån,hiss,slutpris 4 500 000 kr,såld 25 november 2021,+13 %,104 651 kr/m²,vasastan
"sveavägen 131, 4 tr","vasastan, stockholms kommun",69 m²   3 rum,3 750 kr/mån,balkong&hiss,slutpris 6 850 000 kr,såld 25 november 2021,+5 %,99 275 kr/m²,vasastan
"rödabergsgatan 10, vån 4","vasastan, stockholms kommun","41,8 m²   2 rum",1 949 kr/mån,hiss,slutpris 4 815 000 kr,såld 25 november 2021,+21 %,115 191 kr/m²,vasastan
"västmannagatan 89 a, 1 tr","vasastan, stockholms kommun",37 m²   2 rum,1 515 kr/mån,balkong,slutpris 4 800 000 kr,såld 25 november 2021,+20 %,129 730 kr/m²,vasastan
"vanadisvägen 5, 2 tr","vasastan, stockholms kommun","47 m²   1,5 rum",2 872 kr/mån,hiss,slutpris 3 960 000 kr,såld 25 november 2021,+13 %,84 255 kr/m²,vasastan
frejgatan 56,"vasastan, stockholms kommun","59,5 m²   2 rum",2 205 kr/mån,hiss,slutpris 6 700 000 kr,såld 25 november 2021,+3 %,112 605 kr/m²,vasastan
hälsingehöjden 11,"vasastan, stockholms kommun","65,5 m²   2 rum",2 921 kr/mån,hiss,slutpris 7 510 000 kr,såld 24 november 2021,+16 %,114 656 kr/m²,vasastan
"norra stationsgatan 115, 0.5 tr.","vasastan, stockholms kommun",35 m²   2 rum,1 759 kr/mån,hiss,slutpris 3 805 000 kr,såld 24 november 2021,+23 %,108 714 kr/m²,vasastan
tomtebogatan 46,"birkastan, stockholms kommun",36 m²   2 rum,1 945 kr/mån,hiss,slutpris 4 250 000 kr,såld 24 november 2021,+22 %,118 056 kr/m²,vasastan
"surbrunnsgatan 55, 3 tr","vasastan - odenplan, stockholms kommun",58 m²   2 rum,2 663 kr/mån,hiss,slutpris 5 410 000 kr,såld 24 november 2021,+15 %,93 276 kr/m²,vasastan
rörstrandsgatan 48,"vasastan - birkastan, stockholms kommun",59 m²   2 rum,3 494 kr/mån,balkong&hiss,slutpris 7 520 000 kr,såld 24 november 2021,+4 %,127 458 kr/m²,vasastan
"roslagsgatan 59, 1 tr","vasastan sibirien, stockholms kommun",29 m²   1 rum,1 647 kr/mån,null,slutpris 3 220 000 kr,såld 24 november 2021,+12 %,111 034 kr/m²,vasastan
upplandsgatan 54d,"vasastan, stockholms kommun",60 m²   2 rum,2 709 kr/mån,null,slutpris 6 650 000 kr,såld 24 november 2021,+11 %,110 833 kr/m²,vasastan
atlasmuren 18,"vasastan, stockholms kommun",51 m²   2 rum,1 044 kr/mån,hiss,slutpris 4 400 000 kr,såld 24 november 2021,+5 %,86 275 kr/m²,vasastan
"tulegatan 26, 3,5 trappor","vasastaden, stockholms kommun",50 m²   2 rum,2 084 kr/mån,hiss,slutpris 5 810 000 kr,såld 24 november 2021,+29 %,116 200 kr/m²,vasastan
"dalagatan 39, 3 tr","vasastan, stockholms kommun",103 m²   3 rum,4 807 kr/mån,balkong&hiss,slutpris 12 750 000 kr,såld 24 november 2021,+11 %,123 786 kr/m²,vasastan
"karlbergsvägen 67, 1,5tr","vasastan - birkastan, stockholms kommun",64 m²   3 rum,2 919 kr/mån,balkong&hiss,slutpris 7 750 000 kr,såld 23 november 2021,+19 %,121 094 kr/m²,vasastan
"sveavägen 106, 3tr","vasastan - odenplan, stockholms kommun",69 m²   3 rum,1 096 kr/mån,balkong,slutpris 8 700 000 kr,såld 23 november 2021,+9 %,126 087 kr/m²,vasastan
"roslagsgatan 59, 2tr","vasastan - sibirien, stockholms kommun",29 m²   1 rum,1 677 kr/mån,balkong,slutpris 3 400 000 kr,såld 23 november 2021,+7 %,117 241 kr/m²,vasastan
"roslagsgatan 54a, 3 tr","vasastan - sibirien, stockholms kommun","31 m²   1,5 rum",1 895 kr/mån,balkong&hiss,slutpris 3 925 000 kr,såld 23 november 2021,+19 %,126 613 kr/m²,vasastan
"karlbergsvägen 46a, 4 tr","birkastan vasastan, stockholms kommun",70 m²   3 rum,1 803 kr/mån,balkong&hiss,slutpris 8 325 000 kr,såld 23 november 2021,+17 %,118 929 kr/m²,vasastan
"sankt eriksgatan 108, 2 tr","vasastan, stockholms kommun",47 m²   1 rum,2 032 kr/mån,hiss,slutpris 4 695 000 kr,såld 23 november 2021,+12 %,99 894 kr/m²,vasastan
"torsplan 10, vån 14","vasastan/hagastaden, stockholms kommun",75 m²   2 rum,4 458 kr/mån,balkong&hiss,slutpris 10 400 000 kr,såld 23 november 2021,+4 %,138 667 kr/m²,vasastan
völundsgatan 7,"stockholm - vasastan/norrmalm, stockholms kommun",35 m²   1 rum,1 588 kr/mån,hiss,slutpris 3 395 000 kr,såld 23 november 2021,+3 %,97 000 kr/m²,vasastan
"frejgatan 16, 3 tr","vasastan, stockholms kommun",67 m²   3 rum,2 881 kr/mån,balkong&hiss,slutpris 7 560 000 kr,såld 23 november 2021,+16 %,112 836 kr/m²,vasastan
"sonja kovalevskys gata 4, vån 2","vasastan/hagastaden, stockholms kommun",91 m²   4 rum,4 145 kr/mån,balkong&hiss,slutpris 9 400 000 kr,såld 22 november 2021,+6 %,103 297 kr/m²,vasastan
"dannemoragatan 18, 4tr, balkong sydväst","vasastan-norrtull, stockholms kommun",37 m²   2 rum,1 936 kr/mån,balkong&hiss,slutpris 3 900 000 kr,såld 22 november 2021,+12 %,105 405 kr/m²,vasastan
sveavägen 129,"vasastan, stockholms kommun",67 m²   3 rum,1 972 kr/mån,hiss,slutpris 6 900 000 kr,såld 22 november 2021,+15 %,102 985 kr/m²,vasastan
nina einhorns gata 6,"hagastaden/ vasastan, stockholms kommun",69 m²   3 rum,3 968 kr/mån,balkong&hiss,slutpris 6 700 000 kr,såld 22 november 2021,-1 %,97 101 kr/m²,vasastan
"hälsingegatan 61, 6tr","vasastan hagastaden, stockholms kommun",98 m²   4 rum,4 900 kr/mån,balkong&hiss,slutpris 9 715 000 kr,såld 21 november 2021,+11 %,99 133 kr/m²,vasastan
"hälsingegatan 14d, 3 tr","vasastan, stockholms kommun",54 m²   2 rum,1 617 kr/mån,balkong,slutpris 7 000 000 kr,såld 21 november 2021,+17 %,129 630 kr/m²,vasastan
robert almströmsgatan 3,"vasastan - birkastan, stockholms kommun",44 m²   2 rum,2 492 kr/mån,hiss,slutpris 5 200 000 kr,såld 20 november 2021,+18 %,118 182 kr/m²,vasastan
falugatan 13,"vasastan, stockholms kommun",44 m²   2 rum,2 671 kr/mån,null,slutpris 4 550 000 kr,såld 20 november 2021,+14 %,103 409 kr/m²,vasastan
"sveavägen 133, 3tr","vasastan, stockholms kommun","38 m²   1,5 rum",1 869 kr/mån,hiss,slutpris 3 825 000 kr,såld 20 november 2021,+9 %,100 658 kr/m²,vasastan
"torsplan 10, våning 14","vasastaden, stockholms kommun",68 m²   3 rum,4 136 kr/mån,balkong&hiss,slutpris 11 000 000 kr,såld 19 november 2021,±0 %,161 765 kr/m²,vasastan
torsplan 8,"hagastaden, stockholms kommun",85 m²   4 rum,4 869 kr/mån,balkong&hiss,slutpris 10 000 000 kr,såld 19 november 2021,+5 %,117 647 kr/m²,vasastan
holländargatan 26b,"vasastan - city/norrmalm/kungsholmen, stockholms kommun",43 m²   2 rum,2 030 kr/mån,hiss,slutpris 5 600 000 kr,såld 19 november 2021,+25 %,130 233 kr/m²,vasastan
gästrikegatan 8,"vasastan, stockholms kommun",85 m²   3 rum,4 966 kr/mån,balkong&hiss,slutpris 11 800 000 kr,såld 19 november 2021,138 824 kr/m²,,vasastan
dalagatan 68b,"vasastan, stockholms kommun","42,6 m²   1,5 rum",2 431 kr/mån,null,slutpris 4 600 000 kr,såld 19 november 2021,+18 %,107 981 kr/m²,vasastan
"torsplan 8, våning 15","vasastan/hagastaden, stockholms kommun",58 m²   2 rum,3 621 kr/mån,balkong&hiss,slutpris 9 437 000 kr,såld 19 november 2021,+11 %,162 707 kr/m²,vasastan
"västmannagatan 81b, 2 tr","vasastan, stockholms kommun",46 m²   2 rum,2 916 kr/mån,hiss,slutpris 5 700 000 kr,såld 19 november 2021,+27 %,123 913 kr/m²,vasastan
torbjörn klockares gata 4,"röda bergen, stockholms kommun","46 m²   2,5 rum",1 747 kr/mån,null,slutpris 5 100 000 kr,såld 19 november 2021,+13 %,110 870 kr/m²,vasastan
frejgatan 17,"vasastan, stockholms kommun","52,1 m²   2 rum",2 665 kr/mån,null,slutpris 6 600 000 kr,såld 19 november 2021,±0 %,126 679 kr/m²,vasastan
tomtebogatan 9,"birkastan, stockholms kommun",126 + 20 m²   4 rum,4 316 kr/mån,null,slutpris 21 750 000 kr,såld 19 november 2021,+9 %,172 619 kr/m²,vasastan
"torsgatan 43, 4 tr","vasastan, stockholms kommun",133 m²   4 rum,4 022 kr/mån,balkong&hiss,slutpris 18 500 000 kr,såld 19 november 2021,+14 %,139 098 kr/m²,vasastan
"vulcanusgatan 13, vån 4","vasastan, stockholms kommun",35 m²   2 rum,1 861 kr/mån,hiss,slutpris 4 100 000 kr,såld 18 november 2021,+8 %,117 143 kr/m²,vasastan
"rörstrandsgatan 22, 2tr","vasastan - birkastan, stockholms kommun",105 m²   3 rum,4 039 kr/mån,balkong&hiss,slutpris 12 500 000 kr,såld 18 november 2021,+4 %,119 048 kr/m²,vasastan
idungatan 8,"vasastan, stockholms kommun","31 m²   1,5 rum",1 243 kr/mån,hiss,slutpris 3 500 000 kr,såld 18 november 2021,+17 %,112 903 kr/m²,vasastan
"torsgatan 61, 2tr","vasastan/birkastan, stockholms kommun",36 m²   1 rum,1 740 kr/mån,hiss,slutpris 3 950 000 kr,såld 18 november 2021,+16 %,109 722 kr/m²,vasastan
torsgatan 42b,"vasastan, stockholms kommun","71 m²   2,5 rum",3 461 kr/mån,balkong&hiss,slutpris 8 500 000 kr,såld 18 november 2021,119 718 kr/m²,,vasastan
"tulegatan 22, 3 tr","vasastan, stockholms kommun",46 m²   2 rum,2 190 kr/mån,hiss,slutpris 5 600 000 kr,såld 18 november 2021,+22 %,121 739 kr/m²,vasastan
"hälsingegatan 9, 2 tr","vasastan, stockholms kommun",108 m²   4 rum,4 592 kr/mån,balkong&hiss,slutpris 16 500 000 kr,såld 18 november 2021,+22 %,152 778 kr/m²,vasastan
dalagatan 86 c,"vasastan, stockholms kommun",49 m²   2 rum,3 080 kr/mån,hiss,slutpris 5 600 000 kr,såld 18 november 2021,+29 %,114 286 kr/m²,vasastan
"västmannagatan 86, 4tr","vasastan, stockholms kommun",85 m²   3 rum,4 196 kr/mån,null,slutpris 12 170 000 kr,såld 18 november 2021,+22 %,143 176 kr/m²,vasastan
"vanadisvägen 5, 1,5tr.","vasastan, stockholms kommun",86 m²   3 rum,4 799 kr/mån,hiss,slutpris 8 300 000 kr,såld 17 november 2021,+8 %,96 512 kr/m²,vasastan
roslagsgatan 47,"vasastan, stockholms kommun",42 m²   2 rum,2 300 kr/mån,hiss,slutpris 4 400 000 kr,såld 17 november 2021,+9 %,104 762 kr/m²,vasastan
"dannemoragatan 18, 4tr","vasastan-norrtull, stockholms kommun",56 m²   2 rum,2 800 kr/mån,balkong&hiss,slutpris 5 800 000 kr,såld 17 november 2021,+8 %,103 571 kr/m²,vasastan
rörstrandsgatan 38,"vasastaden, stockholms kommun",78 m²   3 rum,3 935 kr/mån,balkong&hiss,slutpris 10 260 000 kr,såld 17 november 2021,+21 %,131 538 kr/m²,vasastan
gästrikegatan 8,"vasastan, stockholms kommun",85 m²   3 rum,4 966 kr/mån,balkong&hiss,slutpris 11 900 000 kr,såld 17 november 2021,+9 %,140 000 kr/m²,vasastan
rådmansgatan 39b,"vasastaden, stockholms kommun",97 m²   3 rum,3 845 kr/mån,balkong&hiss,slutpris 11 900 000 kr,såld 17 november 2021,±0 %,122 680 kr/m²,vasastan
roslagsgatan 29,"vasastan - sibirien, stockholms kommun",56 m²   2 rum,3 455 kr/mån,hiss,slutpris 4 700 000 kr,såld 17 november 2021,+1 %,83 929 kr/m²,vasastan
västmannagatan 76,"stockholm - vasastan/norrmalm, stockholms kommun",39 m²   2 rum,2 247 kr/mån,balkong&hiss,slutpris 4 275 000 kr,såld 17 november 2021,+7 %,109 615 kr/m²,vasastan
"dalagatan 70a, 4 tr","vasastan, stockholms kommun",33 + 5 m²   2 rum,1 667 kr/mån,balkong&hiss,slutpris 5 225 000 kr,såld 17 november 2021,+16 %,158 333 kr/m²,vasastan
"sankt eriksgatan 120, 3 tr","vasastan, stockholms kommun","38,5 m²   1 rum",2 937 kr/mån,balkong,slutpris 3 700 000 kr,såld 17 november 2021,+9 %,96 104 kr/m²,vasastan
upplandsgatan 77,"vasastan, stockholms kommun",61 m²   2 rum,2 959 kr/mån,hiss,slutpris 6 950 000 kr,såld 17 november 2021,null,113 934 kr/m²,vasastan
"karlbergsvägen 75, vindsvåning","vasastan, stockholms kommun",80 + 14 m²   3 rum,3 627 kr/mån,balkong&hiss,slutpris 11 000 000 kr,såld 17 november 2021,+12 %,137 500 kr/m²,vasastan
"torsgatan 52, 2tr.","vasastan - s:t eriksplan, stockholms kommun",85 m²   3 rum,3 587 kr/mån,hiss,slutpris 10 300 000 kr,såld 16 november 2021,+16 %,121 176 kr/m²,vasastan
"eastmansvägen 11, vån 6","vasastan, stockholms kommun",46 m²   2 rum,1 712 kr/mån,balkong&hiss,slutpris 5 950 000 kr,såld 16 november 2021,+4 %,129 348 kr/m²,vasastan
"surbrunnsgatan 46, 3 tr","vasastan - sibirien, stockholms kommun",66 m²   2 rum,824 kr/mån,balkong&hiss,slutpris 9 200 000 kr,såld 16 november 2021,+32 %,139 394 kr/m²,vasastan
hälsingegatan 51 - vån 5s,"vasastan - hagastaden, stockholms kommun","35 + 17 m²   1,5 rum",2 175 kr/mån,balkong&hiss,slutpris 4 900 000 kr,såld 16 november 2021,+5 %,140 000 kr/m²,vasastan
hagagatan 10a,"vasastan - odenplan, stockholms kommun",64 m²   3 rum,3 235 kr/mån,balkong&hiss,slutpris 8 350 000 kr,såld 16 november 2021,+17 %,130 469 kr/m²,vasastan
"döbelnsgatan 31a, ög","vasastan, stockholms kommun","58,2 m²   2 rum",2 612 kr/mån,balkong,slutpris 7 575 000 kr,såld 16 november 2021,+26 %,130 155 kr/m²,vasastan
